Cat,Maker,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,total_sales
3W,Sanchal Automobiles Pvt Ltd,0,0,0,0,56,22,0,0,0,0,78
3W,Sant Engg Works,0,0,11,0,0,0,0,0,0,0,11
3W,Saravana Engineering Works,0,0,0,0,0,0,0,0,204,4,208
LMV,Saravana Trailer,0,0,1,0,0,0,0,0,0,0,1
3W,Sas Motors Ltd.,7,13,4,0,0,0,0,0,0,0,24
3W,Sathi Motors Electric Vehicle Pvt Ltd,0,0,10,233,182,341,565,1310,2831,2169,7641
3W,Sauryaa Sharyo Corporation,0,4,12,2,0,0,0,1,2,0,21
2W,Sbtek E Moto Pvt Ltd,0,0,0,0,0,14,46,19,22,8,109
3W,Scooters India Ltd,0,0,1,0,0,5,4,5,1,1,17
3W,Sealion Automobile Pvt Ltd,0,0,0,0,14,13,22,36,36,13,134
2W,Seeka E Motors Pvt Ltd,0,0,0,0,0,0,0,0,3,12,15
3W,Sen And Pandit Voltage Control Pvt Ltd,0,0,0,40,54,28,23,55,54,37,291
3W,Seth Industrial Corporation,0,0,0,32,79,59,130,401,911,700,2312
3W,Sethji Industries,0,0,88,50,6,6,4,0,0,0,154
3W,Sf2 E Vehicle Pvt Ltd,0,0,0,0,0,0,0,16,49,14,79
3W,Sgl Industries,0,0,0,0,0,1,0,0,0,0,1
3W,Sglline Motors Pvt Ltd,0,0,0,63,28,49,28,60,31,23,282
MMV,Shah Agro Engg Works,1,0,0,0,0,0,0,0,0,0,1
3W,Shailendra Autos Pvt Ltd,0,0,0,0,0,0,0,0,40,91,131
3W,Shakti Auto Green,0,0,63,155,188,191,281,415,787,522,2602
3W,Shaktiman Agro Industries,0,0,1,0,0,0,0,0,0,0,1
3W,Shalya Auto Sales Pvt Ltd,0,0,0,0,0,0,0,213,617,360,1190
3W,Shammi Electronics,0,0,0,0,0,0,0,0,28,21,49
2W,Shema E- Vehcile & Solar Pvt Ltd,0,0,0,0,0,0,0,0,0,1568,1568
3W,Shera Electrical Auto Pvt Ltd,0,12,11,20,1,1,0,0,0,0,45
3W,Shigan Evoltz Ltd,0,82,352,565,950,452,505,853,431,145,4335
LMV,Shigan Evoltz Ltd,0,0,0,1,1,0,9,0,0,0,11
3W,Shine Metal Udyog Pvt Ltd,0,0,19,9,0,0,0,0,0,0,28
3W,Shine Metal Udyog Pvt Ltd (Unit- Ii),0,0,30,92,61,8,10,5,110,138,454
3W,Shinme Electrical Vehicle Pvt Ltd,0,0,0,0,0,0,0,91,120,72,283
3W,Shiv Enterprises,0,0,0,0,0,0,0,0,0,72,72
3W,Shiv Om India,0,0,633,582,209,40,23,69,197,151,1904
LMV,Shiv Trailor Industries,0,2,2,0,0,0,0,0,0,0,4
3W,Shiva Enterprises,0,0,0,0,0,0,0,0,0,65,65
3W,Shivganga Ecogreen Llp,0,0,0,0,0,0,0,0,0,35,35
3W,Shree Maruti Nandan Businesss (P) Ltd,0,0,0,33,69,14,17,181,307,98,719
3W,Shree Siridi Sai Mineral & Exports Pvt. Ltd,0,0,44,39,0,0,0,0,0,0,83
3W,Shreya Engineers,0,0,0,2,14,13,43,13,9,3,97
LMV,Shri Abirami Trailers,2,2,5,8,0,0,0,0,0,0,17
MMV,Shri Abirami Trailers,0,1,0,0,0,0,0,0,0,0,1
LMV,Shri Angammal Engineering Works,0,0,2,0,0,0,0,0,0,0,2
LMV,Shri Arupadayan Trailers,0,1,0,0,0,0,0,0,0,0,1
3W,Shri Balaji Enterprises,0,0,0,175,84,0,1,0,0,0,260
LMV,Shri Banashankari Eng Works,0,1,0,0,0,0,0,0,0,0,1
2W,Shri Barsana E-Vehicles Pvt Ltd,0,0,0,0,0,0,0,1,0,0,1
3W,Shri Barsana E-Vehicles Pvt Ltd,0,0,49,575,794,433,645,1554,4086,3224,11360
LMV,Shri Barsana E-Vehicles Pvt Ltd,0,0,0,0,0,0,0,1,2,0,3
3W,Shri Chamundi Mopeds,0,6,2,0,0,0,0,0,0,0,8
3W,Shri Chinnamman Engg. Works,0,1,1,0,0,0,0,0,0,0,2
LMV,Shri Chinnamman Engg. Works,0,0,0,1,0,0,0,0,0,0,1
LMV,Shri Devika Trailers,1,1,0,0,0,0,0,0,0,0,2
LMV,Shri Ganapathy Engg. Works,2,1,1,1,0,0,0,0,0,0,5
LMV,Shri Ganesh Trailer,1,0,0,0,0,0,0,0,0,0,1
LMV,Shri Jyothi Eng. Works.,0,1,0,0,0,0,0,0,0,0,1
LMV,Shri Kanaga Trailers Tankar,0,1,0,0,0,0,0,0,0,0,1
LMV,Shri Kumar Trailers Equipments,0,0,2,0,0,0,0,0,0,0,2
LMV,Shri Lakshmi Lathe Works,6,11,8,5,0,0,0,0,0,0,30
LMV,Shri Laxmi Engineering Works,0,1,0,0,0,0,0,0,0,0,1
LMV,Shri Modern Trailers,0,0,2,0,0,0,0,0,0,0,2
3W,Shri Namo Electric Automotive,0,0,131,238,269,170,214,264,645,395,2326
3W,Shri Ram Auto Tech Pvt Ltd,35,469,127,26,0,0,0,4,3,0,664
3W,Shri Ram Automobiles,0,23,17,2,0,0,0,0,0,0,42
3W,Shri Ram Industries,0,0,0,1,0,0,0,0,0,0,1
LMV,Shri Sakthi Vinayaka Trailers,0,0,3,0,0,0,0,0,0,0,3
3W,Shri Shivshankar Enterprises,0,0,0,0,5,4,2,8,0,0,19
LMV,Shri Vairamuthu Trailers,0,2,2,0,0,0,0,0,0,0,4
LMV,Shri Venkateshwara Trailor,1,0,0,1,0,0,0,0,0,0,2
3W,Shriraj Electric Vehicles,0,0,0,40,17,158,1318,2003,2726,1240,7502
3W,Shriram Astral Motor Co,0,0,0,0,6,4,0,0,0,0,10
3W,Shubham Manufacturer,0,0,0,0,0,0,0,0,6,13,19
3W,Siarsa Electricals Pvt Ltd,0,0,13,28,21,0,0,0,0,0,62
LMV,Sidhi Durga Engineering,0,0,0,2,0,0,0,0,0,0,2
2W,Simpleenergy Pvt Ltd,0,0,0,0,0,0,0,0,65,568,633
LMV,Sindhu Motors,0,1,0,0,0,0,0,0,0,0,1
3W,Singh Automobiles,0,0,0,0,0,0,0,0,359,322,681
3W,Singhal Enterprises,0,0,0,96,97,42,46,38,136,63,518
3W,Sirf India Vehicles Pvt Ltd,0,0,0,24,45,44,24,5,27,53,222
3W,Sityog Engineering Pvt Ltd,0,0,0,0,0,15,1,0,5,2,23
LMV,Siva Engineering Works,0,1,0,0,0,0,0,0,0,0,1
LMV,Sivasakthi Engineering Works,0,1,0,0,0,0,0,0,0,0,1
3W,Siwach Steel Pvt Ltd,0,24,285,331,188,42,47,98,24,8,1047
3W,Six Senses Automotive Pvt Ltd,0,0,0,0,63,8,0,4,12,33,120
3W,Sks Automobiles (I) Pvt Ltd,0,0,20,0,0,0,0,5,2,0,27
3W,Sks Trade India Pvt Ltd,0,0,203,770,1354,854,2236,6308,10078,5687,27490
LMV,Sks Trade India Pvt Ltd,0,0,0,0,3,0,0,0,0,1,4
3W,Skyride Automotive,0,301,344,285,447,393,520,90,40,14,2434
3W,Skyy Rider Electric Private Limited,0,0,0,0,0,0,0,0,1,143,144
2W,Smap Vehicles (Importer: Elego Motors),0,0,0,0,0,0,0,0,15,2,17
3W,Smart Electro Motors,0,0,4,23,25,31,38,48,47,44,260
3W,Smartomatic Vehicles Private Limited,0,0,0,0,0,0,0,0,2,0,2
3W,Smith Motors Pvt Ltd,0,0,0,0,0,0,0,0,4,0,4
3W,Sml Isuzu Ltd,0,1,17,0,0,0,0,0,0,0,18
LMV,Sml Isuzu Ltd,0,4,0,0,0,0,0,0,0,0,4
MMV,Sml Isuzu Ltd,1,0,0,0,0,0,0,0,0,0,1
3W,Sn Solar Energy,0,0,0,61,121,28,44,23,187,244,708
2W,Sokudo Electric India Pvt Ltd,0,0,0,0,0,0,0,0,132,232,364
3W,Soni E Vehicle Pvt Ltd,0,41,109,380,320,41,74,173,64,22,1224
LMV,Soni E Vehicle Pvt Ltd,0,0,1,0,0,0,0,0,0,0,1
3W,Soni E Vehicles Pvt Ltd,44,252,138,13,0,0,0,0,0,0,447
3W,Speed Auto Tech,0,0,0,0,0,0,0,8,87,20,115
3W,Speedways Electric,0,0,85,64,19,11,3,1,5,2,190
3W,Speedways Electric Pvt Ltd,0,14,11,0,0,0,0,0,0,0,25
3W,Speego Vehicles Co Pvt Ltd,0,33,427,900,913,891,1877,3734,4770,2228,15773
3W,Speego Vehicles Pvt. Ltd,227,287,164,15,0,13,73,131,12,0,922
3W,Srd Renewables,0,0,0,5,162,113,481,1222,2121,941,5045
LMV,Sri Rama Trailers,1,0,0,0,0,0,0,0,0,0,1
3W,Sri Sai Marketing,0,1,0,0,0,0,0,0,0,0,1
2W,Srivaru Motors Pvt Ltd,0,0,0,0,0,0,77,60,24,0,161
3W,Ssb Indistries,0,0,69,141,391,311,603,1746,2248,1021,6530
3W,Ssev Enterprises Private Limited,0,0,0,0,0,0,0,340,767,620,1727
3W,Ssv Technologies,0,0,0,0,0,0,0,2,0,1,3
3W,Standard Corporation India Ltd,0,0,3,0,0,0,0,0,0,0,3
3W,Star Bull E Motors,0,0,0,185,361,257,434,2217,2077,1133,6664
3W,Star Iglobal Automotive Pvt Ltd,0,0,0,0,0,12,81,211,570,315,1189
3W,Star Industries,0,0,0,0,0,0,0,0,0,47,47
3W,Successpath Marketing Pvt Ltd,0,17,30,6,0,0,0,0,0,0,53
3W,Sudhraj Electric Mobility Pvt. Ltd.,0,0,0,0,0,0,0,11,175,223,409
3W,Suganji Rara Electric Vehicle Pvt Ltd,0,0,0,2,0,18,10,4,0,0,34
2W,Sumec Co Ltd (Importer: Route & Mars Ev Llp),0,0,0,0,0,0,0,0,0,1,1
3W,Sumfonl Auto Traders Pvt Ltd,0,0,9,197,345,216,78,77,286,162,1370
3W,Sun Auto,0,0,0,0,0,0,0,0,0,2,2
3W,Sun Industries,0,0,0,0,0,0,0,0,0,207,207
3W,Sun Motors,1,3,7,4,0,0,0,0,0,0,15
3W,Sun Motors Pvt Ltd,0,0,6,0,0,0,0,0,0,0,6
3W,Sun Shine Engineering Works,0,1,1,0,0,0,0,0,0,0,2
3W,Sunanda Greentech Pvt Ltd,0,0,0,0,0,0,0,0,11,112,123
3W,Sunariya Motors Pvt Ltd,0,0,0,0,0,0,0,0,36,31,67
3W,Sunku Auto Ltd,0,0,6,0,0,0,0,0,0,0,6
3W,Sunlectra Auto,0,0,0,0,0,0,1,0,0,0,1
3W,Sunshine Technologies,0,0,0,0,17,0,0,0,2,7,26
3W,Sunultra Power Solutions Pvt Ltd,0,0,0,0,0,9,28,82,142,52,313
3W,Super Metro Industries,0,0,0,0,0,1,94,1006,1198,538,2837
3W,Super Power Motors,0,0,0,0,0,0,0,0,2,107,109
2W,Supereco Automotive Co,0,0,0,1,0,7,8,14,128,15,173
3W,Supereco Automotive Co,1,8,325,700,444,157,134,55,134,71,2029
3W,Supereco Automotive Co Llp,0,1,47,5,0,2,0,0,1,0,56
3W,Supertech Ev Limited,0,0,3,111,82,116,356,1038,2020,1390,5116
LMV,Supertech Ev Limited,0,0,0,0,0,0,0,0,0,1,1
3W,Supreme Sales Agency,0,0,0,0,0,0,0,0,0,50,50
3W,Supreme Smart Power Pvt Ltd,0,0,0,0,0,0,64,244,434,219,961
3W,Suprova Enterprise,0,0,0,0,0,2,0,0,4,3,9
3W,Surya International,0,0,0,0,0,0,0,0,16,13,29
LMV,Surya Trailors And Tankers,1,2,0,0,0,0,0,0,0,0,3
2W,Suzuki Motorcycle India Pvt Ltd,17,24,20,2,1,0,0,9,0,0,73
3W,Suzuki Motorcycle India Pvt Ltd,0,0,1,0,0,0,0,0,0,0,1
3W,Svs Enterprises,0,0,0,0,0,0,0,0,84,17,101
3W,Swadeshi Industries,0,0,0,19,18,0,0,0,0,0,37
3W,Swarnchakra Automobiles Pvt Ltd,0,0,0,0,0,0,15,7,5,4,31
3W,Swastik,0,0,0,0,27,40,0,0,0,1,68
LMV,Switch Mobility Automotive Ltd,0,0,0,0,0,0,0,1,0,84,85
3W,Syndicate Auto Components,0,0,0,0,11,13,58,227,77,51,437
3W,T U K Industries,0,0,0,2,145,161,326,1240,2845,1948,6667
3W,Tafe Limited,0,0,1,0,0,0,0,0,0,0,1
LMV,Tafe Limited,0,1,0,1,0,0,0,0,0,0,2
3W,Tamilnadu Mopeds Ltd,0,0,0,1,0,0,0,0,0,0,1
3W,Tao Power Private Limited,0,0,0,0,0,0,0,6,11,3,20
3W,Tara Maa Machinery,0,0,0,0,0,0,0,0,26,54,80
2W,Tata Motors Ltd,0,2,0,0,0,0,0,0,0,0,2
3W,Tata Motors Ltd,0,0,1,0,0,0,0,0,0,1,2
LMV,Tata Motors Ltd,9,10,3,144,419,2717,10033,1621,1766,3076,19798
MMV,Tata Motors Ltd,1,0,4,4,119,26,253,15,275,5,702
LMV,Tata Motors Passenger Vehicles Ltd,0,0,0,0,0,0,0,30610,21420,490,52520
LMV,Tata Passenger Electric Mobility Ltd,0,0,0,0,0,0,0,0,38580,35830,74410
3W,Taurus Electric Vehicles,0,0,0,0,35,24,76,234,346,170,885
3W,Tejasgreen Automotive Pvt Ltd,0,0,0,24,141,16,7,42,1,0,231
LMV,Telsa Inc,0,0,0,0,0,0,1,0,0,0,1
3W,Terex Corporation,0,15,6,1,0,0,0,0,0,0,22
3W,Terra Motors India Pvt Ltd,0,64,893,2704,3545,2631,3404,7876,8810,4959,34886
LMV,Terra Motors India Pvt Ltd,0,0,0,0,1,0,0,0,0,0,1
3W,The Commercial Motors Limited,0,0,0,0,32,14,38,79,58,4,225
LMV,The Commercial Motors Limited,0,0,0,0,1,0,0,0,0,0,1
3W,The Commercial Motors Pvt Ltd,0,0,0,0,0,0,0,0,8,10,18
2W,Thukral Electric Bikes Pvt Ltd,0,0,0,0,0,0,0,1,48,8,57
3W,Thukral Electric Bikes Pvt Ltd,326,1493,1825,2850,3303,1986,3895,5915,7271,3924,32788
3W,Ti Clean Mobility Pvt Ltd,0,0,0,0,0,0,0,1,1273,3139,4413
3W,Top Team Machines Pvt Ltd,0,14,58,919,1103,869,943,1382,1743,809,7840
2W,Tork Motors Pvt Ltd,0,0,0,0,0,1,0,319,1589,931,2840
3W,Toyota Kirloskar Motor Pvt Ltd,0,0,0,1,0,0,0,0,0,0,1
LMV,Toyota Kirloskar Motor Pvt Ltd,19,24,12,28,3,0,6,1,0,0,93
LMV,Toyota Material Handling India Pvt Ltd,0,0,0,0,1,0,3,0,0,0,4
3W,Transvahan Technologies India Pvt Ltd,0,0,0,0,9,0,0,0,0,0,9
3W,Trinity Electric Vehicles Pvt Ltd,0,0,0,0,0,2,13,9,57,120,201
3W,Trishika Industries,0,0,0,11,108,146,416,1355,1361,422,3819
3W,Trupart Automotive India Pvt Ltd,0,0,2,71,61,10,2,0,10,1,157
3W,Truz Industries,0,0,0,5,6,0,0,0,3,4,18
3W,Tsm Engineering Pvt Ltd,0,5,42,47,26,5,0,7,296,227,655
3W,Tsr Trade Com,0,0,0,0,10,35,35,29,30,9,148
3W,Tufan Motors Pvt Ltd,0,0,0,0,208,82,193,391,987,460,2321
2W,Tunwal E Motors Pvt Ltd,0,0,0,0,0,0,1,58,44,16,119
2W,Tvs Motor Company Ltd,165,171,69,23,30,233,5258,47182,166580,98516,318227
3W,Tvs Motor Company Ltd,2,6,6,3,0,0,0,5,97,99,218
3W,Twashtre Automotive Pvt Ltd,0,0,0,0,19,4,6,6,11,6,52
3W,Twinkle Tradcom Pvt Ltd,0,4,357,356,448,454,311,476,1505,449,4360
3W,Two Friends Auto Electric Co,0,0,0,260,368,289,940,2724,3848,2002,10431
2W,Tyst Drive India Pvt Ltd,0,0,0,0,0,2,25,40,31,6,104
3W,U P Telelinks Ltd,22,210,135,1,4,0,0,15,3,0,390
3W,U V Motors India Pvt Ltd,0,0,0,45,34,16,0,0,0,0,95
3W,U.P. Telelinks Limited,0,299,791,581,656,304,499,1978,2438,1760,9306
LMV,U.P. Telelinks Limited,0,0,0,0,0,0,0,1,2,0,3
2W,Ultraviolette Automotive Pvt Ltd,0,0,0,0,0,0,0,0,256,69,325
3W,Uma  Auto Industries Pvt. Ltd,0,3,23,126,41,2,1,34,137,50,417
3W,Uma Auto Industries Pvt Ltd,0,1,0,6,1,0,0,0,0,0,8
3W,Uma Motors,0,0,0,26,99,37,72,191,211,125,761
3W,Unic,0,0,13,0,0,0,0,0,0,0,13
3W,Unicorn Digital Systems Pvt Ltd,0,0,1,2,1,0,3,0,0,0,7
3W,Unique Auto Electric,0,0,0,0,0,0,0,0,26,874,900
3W,Unique Enterprises,0,0,1,174,313,185,778,1671,3580,2132,8834
3W,Unique International,0,0,266,1515,2125,1776,3988,10246,13572,8121,41609
LMV,Unique International,0,0,0,0,0,0,0,3,3,0,6
3W,United Auto Tractors Ltd,0,1,0,0,0,0,0,0,0,0,1
3W,United Transmovers Pvt Ltd,0,0,42,657,788,291,226,321,272,194,2791
3W,Universal Ltd,0,0,0,3,0,0,0,0,0,0,3
3W,Urwashi Enterprises,0,0,0,0,0,0,0,156,355,208,719
3W,Ushasons Auto Components,0,0,0,0,0,0,0,0,0,17,17
3W,V V A Electric Vehicle,0,36,0,0,0,0,0,0,0,0,36
3W,V.T. Engineering,0,0,50,258,197,82,59,59,9,0,714
3W,V.T.Engineering,0,0,3,1,0,0,0,0,0,0,4
3W,V.V.A.Auto Industries Pvt.Ltd,0,6,3,113,103,152,78,72,26,3,556
3W,Vahak Future Solutions Llp,0,0,0,0,0,0,12,17,23,89,141
3W,Vani Electric Vehicles Pvt Ltd,0,0,211,1996,3217,3083,3924,5969,7832,4577,30809
3W,Various Innovative Systems Hybrid Nano Utilities,0,0,0,1,4,1,0,0,0,0,6
3W,Vauxhall Motors Ltd,0,1,3,0,0,0,0,0,0,0,4
3W,Ve Commercial Vehicles Ltd,0,9,12,0,0,0,0,0,0,0,21
LMV,Ve Commercial Vehicles Ltd,0,0,0,0,0,0,0,0,6,27,33
MMV,Ve Commercial Vehicles Ltd,0,0,0,3,0,0,0,7,0,0,10
3W,Veanco Automotives Pvt Ltd,0,0,0,0,0,0,1,6,11,3,21
LMV,Veanco Automotives Pvt Ltd,0,0,0,0,0,0,1,0,0,0,1
3W,Veectero E Vehicles Llp,0,0,0,9,38,22,24,132,171,59,455
MMV,Veera Vahana Udyog Private Limited,0,0,0,0,0,0,0,0,1,8,9
3W,Vehicle Factory Jabalpur,0,5,22,0,0,0,0,0,0,0,27
3W,Venus Auto Industries,0,2,3,0,0,0,0,0,0,0,5
3W,Venus Auto Wheels Pvt Ltd,0,1,282,329,306,212,329,398,574,204,2635
3W,Vglan Buildcon Private Limited,0,4,10,8,39,1,27,0,0,0,89
3W,Vglan Buildcon Pvt Ltd,4,4,8,4,0,0,0,0,0,0,20
LMV,Vglan Buildcon Pvt Ltd,0,0,13,15,0,0,0,0,0,0,28
3W,Vibgyor  Vehicles Limited,0,0,1,0,0,0,0,0,0,0,1
3W,Victor Agro Industries,0,49,79,7,0,0,0,0,0,0,135
LMV,Victor Agro Industries,2,0,0,0,0,0,0,0,0,0,2
3W,Victoria E Vehicles Pvt. Ltd,0,0,59,59,15,2,1,10,25,2,173
3W,Victory Electric International,107,846,1466,2381,1971,858,1243,2135,3319,1402,15728
LMV,Victory Electric International,0,2,3,1,1,0,0,0,0,0,7
3W,Vijaya Electric Auto Pvt Ltd,0,0,0,0,0,0,35,193,256,138,622
3W,Vijayalakshimi Engg Works,0,0,1,0,0,0,0,0,0,0,1
3W,Vijays Coolmax Private Limited,0,0,0,0,0,0,26,1355,4807,3091,9279
3W,Vijayshree Autocom Limited,0,0,0,0,0,0,67,248,181,142,638
3W,Vijex Steel Fabrication,0,0,0,0,0,0,0,0,11,22,33
3W,Vimal Universal Trade Pvt Ltd,0,0,0,74,183,74,130,407,831,704,2403
LMV,Vinayak Industries,0,0,11,0,0,0,0,0,0,0,11
3W,Vinci Industrial Corporation,0,0,0,0,16,34,12,9,39,37,147
2W,Vintage Vehicles,0,0,0,0,0,0,0,0,0,1,1
3W,Vishal Enterprises,0,0,0,0,0,34,100,140,36,20,330
3W,Vishala E-Vehicles Industries Private Limited,0,0,0,0,0,0,0,1,92,22,115
3W,Vishwakarma Gng Industry,0,0,0,35,30,19,3,6,123,162,378
3W,Vishwarup Enterprise,0,0,0,0,4,0,0,2,10,2,18
LMV,Vishwas Trailer Weld Work,0,0,1,0,0,0,0,0,0,0,1
3W,Vitan Jagada Automobile Pvt Ltd,0,0,0,0,0,0,0,2,3,2,7
3W,Volkswagen India Pvt Ltd,1,1,1,0,0,0,0,0,0,0,3
LMV,Volkswagen India Pvt Ltd,0,2,1,0,0,0,0,0,0,0,3
3W,Volmac Engineering Pvt Ltd,0,3,26,30,16,2,0,0,0,0,77
3W,Voltaic Industries Pvt Ltd,0,0,0,21,5,6,0,0,0,0,32
LMV,Voltas Limited,0,2,2,0,0,1,0,0,0,0,5
LMV,Volvo Auto India Pvt Ltd,0,0,0,0,0,0,0,35,570,317,922
3W,Vorc Motors Pvt Ltd,0,0,0,0,0,0,0,0,0,3,3
3W,Vrinda Enterprises,0,6,44,151,290,191,113,446,1080,847,3168
3W,Vsl Industries,0,0,0,0,0,0,44,7,0,1,52
3W,Vva Auto Industries Pvt Ltd,2,77,22,5,0,1,0,0,0,0,107
2W,Wardwizard Innovations & Mobility Limited,0,0,0,0,0,0,0,314,6910,7166,14390
3W,Wardwizard Innovations & Mobility Limited,0,0,0,0,0,0,0,0,0,18,18
LMV,Wardwizard Innovations & Mobility Limited,0,0,0,0,0,0,0,0,0,2,2
2W,Warivo Motor India Pvt Ltd,0,0,0,0,0,0,0,0,1,23,24
3W,Wasan E-Mobility Solutions Pvt Ltd,0,0,0,0,0,0,0,13,80,20,113
3W,Welcome E Rickshaw,0,1,2,1,0,0,2,0,0,0,6
3W,Welkin Healthcare Pvt Ltd,0,0,0,25,67,68,22,114,30,29,355
2W,White Carbon Motors Pvt Ltd,0,0,0,0,0,0,21,82,42,20,165
MMV,Wirtgen India Pvt Ltd,1,0,0,0,0,0,0,0,0,0,1
3W,Wox Coolers Pvt Ltd,0,0,26,61,17,0,0,1,2,2,109
2W,Wuxi Dongma (Importer: Dynam Precision),0,0,0,0,0,0,0,6,15,6,27
2W,Wuxi Jiyayi (Importer: Izanau Electric Llp),0,0,0,0,0,0,0,2,275,64,341
2W,Wuxi Maya (Importer: Dynamo Electric P. Ltd.),0,0,0,0,0,0,0,0,4,63,67
2W,Wuxi Nooma (Importer: Kkl Hitech Ev),0,0,0,0,0,0,0,0,0,1,1
2W,Wuxi Nooma (Importer: Smartnk  Electric Vehicle),0,0,0,0,0,0,0,0,10,4,14
2W,Wuxi Saige (Importer: Dm Green Energy),0,0,0,0,0,0,0,0,68,21,89
3W,Wuxi Saige (Importer: Dm Green Energy),0,0,0,0,0,0,0,0,0,4,4
2W,Wuxi Saige (Importer: Electro-Tech),0,0,0,0,0,0,0,0,8,9,17
2W,Wuxi Saige (Importer: E-Vishwa Electobike),0,0,0,0,0,0,0,12,15,4,31
2W,Wuxi Saige (Importer: Ngage Impex),0,0,0,0,0,0,0,0,2,11,13
2W,Wuxi Saige (Importer: Warivo Motor),0,0,0,0,0,0,0,1,426,282,709
2W,Wuxi Saige (Importer: Zelio Auto Pvt.Ltd.),0,0,0,0,0,0,0,0,4,22,26
2W,Wuxi Saige Electric (Importer: Delta Autocorp Llp),0,0,0,0,0,0,0,4,182,109,295
2W,Wuxi Saige Electric (Importer: Glorious Digital),0,0,0,0,0,0,0,6,54,3,63
2W,Wuxi Shengbao (Importer:Electric One Energy),0,0,0,0,0,0,0,0,1,45,46
2W,Wuxi Shengbao (Importer:Shema E-Vehicle),0,0,0,0,0,0,0,0,0,48,48
2W,Wuxi Tenghui (Importer: Bohre Electric),0,0,0,0,0,0,0,0,37,6,43
2W,Wuxi Tenghui (Importer: Fezora India),0,0,0,0,0,0,0,0,35,16,51
2W,Wuxi Tenghui (Importer: Flycon Motors),0,0,0,0,0,0,0,0,72,157,229
2W,Wuxi Tenghui (Importer: Franklin Ev India),0,0,0,0,0,0,0,0,22,10,32
2W,Wuxi Tenghui (Importer: Hop Electric Mobility),0,0,0,0,0,0,0,0,389,168,557
2W,Wuxi Tenghui (Importer: Jaidka Power),0,0,0,0,0,0,0,0,8,1,9
2W,Wuxi Tenghui (Importer: Jozhi Services),0,0,0,0,0,0,0,0,0,36,36
2W,Wuxi Tenghui (Importer: Radha Mobilities Llp),0,0,0,0,0,0,0,0,2,7,9
2W,Wuxi Tenghui (Importer: Remark Electric),0,0,0,0,0,0,0,0,12,4,16
2W,Wuxi Tenghui (Importer: Seeka E Motors),0,0,0,0,0,0,0,15,278,167,460
2W,Wuxi Tenghui International (Importer: Fezora),0,0,0,0,0,0,0,0,17,18,35
2W,Wuxi Tenghui International (Importer: Franklin Ev),0,0,0,0,0,0,0,0,12,12,24
2W,Wuxi Tourwe (Importer: Goreen E-Mobility),0,0,0,0,0,0,0,0,316,102,418
3W,Xplore Automotive Pvt Ltd,0,42,62,3,0,0,0,0,0,0,107
3W,Xxplore Automative Pvt Ltd,0,31,49,15,11,1,1,12,2,0,122
3W,Xxplore Automotive Pvt. Limited,0,22,86,87,129,43,39,15,6,0,427
3W,Y.C.Electric Vehicle,780,3348,43,46,1,0,0,0,0,0,4218
3W,Yaari Automobiles Pvt Ltd,0,0,0,0,29,88,58,1,3,79,258
2W,Yangguang Lingmu (Importer: Dawngate Business),0,0,0,0,0,0,0,25,16,1,42
2W,Yangguang Lingmu (Importer: Durga Filters),0,0,0,0,0,0,0,1,9,0,10
2W,Yangguang Lingmu (Importer: Ecoindia),0,0,0,0,0,0,0,0,4,1,5
2W,Yangguang Lingmu (Importer: Flycon Motors),0,0,0,0,0,0,0,0,61,96,157
2W,Yangguang Lingmu (Importer: Remark Electric),0,0,0,0,0,0,0,13,27,13,53
2W,Yangguang Lingmu (Importer: Xwls Electric),0,0,0,0,0,0,0,0,11,13,24
3W,Yc Electric Vehicle,1,1665,7434,10816,13213,9543,15793,29793,40794,23892,152944
LMV,Yc Electric Vehicle,0,0,0,0,2,2,0,1,2,0,7
3W,Yc Electric Vehicle Pvt Ltd,0,0,30,14,24,8,1,0,0,0,77
3W,Yezdi Motors Ltd,0,0,2,0,0,0,0,0,0,0,2
2W,Youyaku Electric (Importer: Houstan Innovation),0,0,0,0,0,0,0,0,82,109,191
2W,Youyaku Electric (Importer: Sasdal Enterprises),0,0,0,0,0,0,0,0,80,101,181
2W,Youyaku Electric (Importer: Shema E-Vehicle),0,0,0,0,0,0,0,0,0,3,3
2W,Youyaku Electric (Importer: Smobility Ev),0,0,0,0,0,0,0,0,0,36,36
2W,Youyaku Electric (Importer: Tvisi Electric),0,0,0,0,0,0,0,0,2,11,13
2W,Youyaku Electric (Importer:Ime Vehicles Pvt Ltd),0,0,0,0,0,0,0,0,218,232,450
2W,Youyaku Electric (Importer:Krishika Ev India),0,0,0,0,0,0,0,0,0,23,23
2W,Youyaku Electric (Importer:Newtron Electric),0,0,0,0,0,0,0,0,36,67,103
2W,Youyaku Electric (Importer:Onzo Ev),0,0,0,0,0,0,0,0,20,37,57
3W,Yuvraj International,0,0,0,71,31,3,4,5,0,0,114
LMV,Yuvraj International,0,0,0,1,0,0,0,0,0,0,1
2W,Zap (Hk) (Importer: Izanau Electric),0,0,0,0,0,0,0,35,128,48,211
2W,Zap (Importer:Ellysium Automotives Pvt Ltd),0,0,0,0,0,0,0,0,32,7,39
3W,Zbee India Pvt Ltd,0,0,0,16,2,2,1,0,0,0,21
3W,Zeniak Innovation India Ltd,0,10,605,789,1621,1281,931,1561,2836,2626,12260
LMV,Zeniak Innovation India Ltd,0,0,0,0,0,0,0,1,0,0,1
